"행정동명","자치구.x","평균자외선지수","평균노인체감온도","폭염시간합계","온열질환환자수","등록인구수","노인인구수","노인인구비율","독거노인수","독거노인비율","기초생활수급자수","기초생활수급자비율","저소득노인수","저소득노인비율","장애인구수","장애인구비율","인구밀도","단독연립다세대주택","무더위쉼터개수","노인대비쉼터수.x","인구당보건인력","인구당소방인력","도시화면적비율","하천변조경비율","녹지비율","재정자립도","RGDP","면적.km.","하천변조경.km.","녹지면적.km.","위도.x","경도.x","위도.y","경도.y","자치구.y","폭염취약성지수","노인대비쉼터수.y","scaled_취약성지수","scaled_역비례_쉼터개수","우선순위지수"
"가락1동","송파구",6.626865672,28.28606965,21,18,27646,4124,0.149171670404398,540,0.0195326629530493,136,0.00491933733632352,11,0.000397887578673226,561,0.0202922665123345,20631.3432835821,100543,0,0,0.000283848992336077,0.000490284623125952,0.6879,0.00191721945826423,0.016312493090105,31.9,31834324,1.34,0.00256907407407407,0.0218587407407407,37.4953291516899,127.108235045606,37.4953291516899,127.108235045606,"송파구",0.167842545017579,0,0.682410800361235,1,0.756676843761038
"가락2동","송파구",6.626865672,28.28606965,21,18,31079,5024,0.161652562823772,884,0.028443643617877,561,0.018050773834422,11,0.000353936741851411,894,0.0287654042922874,32373.9583333333,100543,2,0.000398089171974522,0.000283848992336077,0.000490284623125952,0.6879,0.00267611882716049,0.0227695216049383,31.9,31834324,0.96,0.00256907407407407,0.0218587407407407,37.4958596390957,127.130643071282,37.4958596390957,127.130643071282,"송파구",0.178357258132645,0.000398089171974522,0.699834721195356,0.950810024923844,0.758523564582282
"가락본동","송파구",6.626865672,28.48258706,64,18,25183,4422,0.175594647182623,1117,0.0443553190644482,641,0.0254536790692134,9,0.000357383949489735,743,0.0295040304967637,22285.8407079646,100543,7,0.00158299412030755,0.000283848992336077,0.000490284623125952,0.6879,0.00227351687971157,0.0193440183546378,31.9,31834324,1.13,0.00256907407407407,0.0218587407407407,37.4972167146674,127.12163941811,37.4972167146674,127.12163941811,"송파구",0.193796992619618,0.00158299412030755,0.725419890134999,0.804396987395041,0.743888139494159
"가리봉동","구로구",6.514925373,28.79850746,69,10,12359,2348,0.189983008334008,939,0.0759770207945627,663,0.0536451169188446,11,0.000890039647220649,562,0.045472934703455,30897.5,82729,3,0.00127768313458262,0.000495807141140609,0.000774066250964421,0.7445,0.0271163333333333,0.0531355,19.9,14663398,0.4,0.0108465333333333,0.0212542,37.4825554601053,126.888256854915,37.4825554601053,126.888256854915,"구로구",0.132819275902606,0.00127768313458262,0.624373775315161,0.842122805718095,0.675292883901231
"가산동","금천구",6.731343284,28.6641791,115,3,27365,3191,0.11660880687009,902,0.0329618125342591,824,0.0301114562397223,24,0.000877032706011328,763,0.0278823314452768,10859.126984127,37029,5,0.00156690692572861,0.000779474138006114,0.000814310970989627,0.777,0.00800829365079365,0.00463845238095238,22,17801015,2.52,0.0201809,0.0116889,37.4768350851274,126.884340971903,37.4768350851274,126.884340971903,"금천구",0.029244060452722,0.00156690692572861,0.452739386946556,0.806384805090404,0.535436928304656
"가양1동","강서구",6.656716418,28.6641791,115,12,33971,3753,0.110476582967826,584,0.0171911336139649,319,0.00939036236790203,22,0.000647611197786347,769,0.0226369550498955,7227.87234042553,111298,5,0.00133226751931788,0.000270571327169929,0.00055695526436927,0.4576,0,0.0108476808510638,19.4,18347568,4.7,0,0.0509841,37.5731004931785,126.834347555919,37.5731004931785,126.834347555919,"강서구",0.183435856705663,0.00133226751931788,0.708250461930854,0.835378074352112,0.737978377087066
"가양2동","강서구",6.73880597,28.58706468,18,12,13295,4717,0.354795035727717,1982,0.149078600977811,3482,0.261902971041745,45,0.00338473110191801,2344,0.176306882286574,13295,111298,5,0.00105999576001696,0.000270571327169929,0.00055695526436927,0.4576,0,0.0509841,19.4,18347568,1,0,0.0509841,37.5686569491926,126.854007154767,37.5686569491926,126.854007154767,"강서구",0.33548267741265,0.00105999576001696,0.960207100032773,0.869021393479643,0.938883951613308
"가양3동","강서구",6.731343284,28.21641791,98,12,13913,4082,0.293394666858334,1515,0.108890965284267,2283,0.164091137784806,45,0.00323438510745346,1563,0.11234097606555,27826,111298,5,0.00122488975992161,0.000270571327169929,0.00055695526436927,0.4576,0,0.1019682,19.4,18347568,0.5,0,0.0509841,37.5626822671425,126.862296718594,37.5626822671425,126.862296718594,"강서구",0.307719014696268,0.00122488975992161,0.914199961659943,0.848646230534904,0.898870673868391
"가회동","종로구",6.589552239,28.07960199,14,2,3927,864,0.220015278838808,251,0.0639164756811816,76,0.0193531958237841,10,0.00254647313470843,169,0.0430353959765724,7272.22222222222,32325,4,0.00462962962962963,0.00141463725164275,0.00210780950494769,0.5339,0,0.0201534567901235,42,35719537,0.54,0,0.0108828666666667,37.58267630473,126.98661820544,37.58267630473,126.98661820544,"종로구",-0.140467581433959,0.00462962962962963,0.171510390919544,0.427938808373591,0.231474407332086
"갈현1동","은평구",6.626865672,28.14179104,115,20,14417,3280,0.227509190538947,876,0.0607616008878407,1354,0.0939169036554068,27,0.00187278906846084,699,0.0484844281057085,14862.8865979381,68309,3,0.000914634146341463,0.000430641076731241,0.000548478187279591,0.5347,0.00216134020618557,0.0136414304123711,16,5112192,0.97,0.0020965,0.0132321875,37.6253524711549,126.914887209402,37.6253524711549,126.914887209402,"은평구",0.34726709334786,0.000914634146341463,0.979735044170139,0.886983032873807,0.95804562619186
