"동별(1)",동별(2),동별(3),2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",종로구,소계,72341,150011,71561,78450,138879,66846,72033,11132,4715,6417,1.92,29598
"합계",종로구,사직동,4582,9253,4101,5152,8995,3948,5047,258,153,105,1.96,1925
"합계",종로구,삼청동,1111,2469,1196,1273,2234,1073,1161,235,123,112,2.01,645
"합계",종로구,부암동,4127,9321,4391,4930,9054,4255,4799,267,136,131,2.19,1965
"합계",종로구,평창동,7129,17433,8092,9341,17232,7987,9245,201,105,96,2.42,3785
"합계",종로구,무악동,2997,7906,3631,4275,7876,3615,4261,30,16,14,2.63,1544
"합계",종로구,교남동,4319,9788,4511,5277,9621,4418,5203,167,93,74,2.23,1740
"합계",종로구,가회동,1884,3927,1845,2082,3826,1791,2035,101,54,47,2.03,864
"합계",종로구,종로1.2.3.4가동,4929,8591,4967,3624,6708,4027,2681,1883,940,943,1.36,1833
"합계",종로구,종로5.6가동,3550,5802,3048,2754,5306,2796,2510,496,252,244,1.49,1110
"합계",종로구,이화동,4357,7553,3481,4072,7012,3257,3755,541,224,317,1.61,1408
"합계",종로구,창신1동,2577,5328,2807,2521,4446,2344,2102,882,463,419,1.73,1261
"합계",종로구,창신2동,3920,8579,4415,4164,7380,3804,3576,1199,611,588,1.88,1977
"합계",종로구,창신3동,2734,6459,3196,3263,6246,3079,3167,213,117,96,2.28,1381
"합계",종로구,숭인1동,2998,6086,2923,3163,5756,2792,2964,330,131,199,1.92,1333
"합계",종로구,숭인2동,6913,11029,5164,5865,10064,4900,5164,965,264,701,1.46,1828
