"자치구","행정동명","폭염취약성지수"
"도봉구","방학2동",0.359496269482729
"은평구","불광2동",0.349918766776744
"은평구","갈현1동",0.34726709334786
"은평구","대조동",0.342707218547929
"은평구","구산동",0.340846064435312
"은평구","응암3동",0.340220844374201
"강서구","가양2동",0.33548267741265
"도봉구","쌍문2동",0.333812999057475
"은평구","갈현2동",0.332552214293079
"은평구","역촌동",0.332144720249385
"은평구","녹번동",0.330140767519442
"도봉구","도봉1동",0.330116204612051
"은평구","불광1동",0.329798353157517
"도봉구","쌍문1동",0.324581877191571
"은평구","신사2동",0.320978770871062
"도봉구","창3동",0.314540008045871
"은평구","증산동",0.307721879769373
"강서구","가양3동",0.307719014696268
"은평구","응암1동",0.305762985412075
"도봉구","방학1동",0.30050371744569
"도봉구","도봉2동",0.298643022994522
"도봉구","창2동",0.29691599924742
"강서구","등촌3동",0.296353389912007
"은평구","신사1동",0.295607533501117
"도봉구","쌍문3동",0.295255764546197
"은평구","응암2동",0.294839156181209
"도봉구","방학3동",0.288830038059204
"은평구","수색동",0.271808948301909
"은평구","진관동",0.270360519713743
"도봉구","창4동",0.259856222440728
"도봉구","창1동",0.258842563605033
"송파구","마천2동",0.258395637553754
"도봉구","쌍문4동",0.254903169524898
"관악구","난곡동",0.254632690916873
"강서구","방화3동",0.253497065903729
"도봉구","창5동",0.253456980152031
"관악구","신사동(관악)",0.250443705803593
"송파구","마천1동",0.249944787058758
"관악구","성현동",0.248915513873258
"노원구","상계5동",0.248595576555241
"중랑구","중화2동",0.247971451960112
"노원구","월계2동",0.243291055531723
"노원구","월계3동",0.24077745715534
"관악구","미성동",0.239787143097657
"강서구","화곡2동",0.234031952322149
"강서구","방화2동",0.233801111026417
"강서구","화곡1동",0.232409080851647
"강서구","화곡3동",0.230181957305008
"중랑구","면목2동",0.229395369087167
"강서구","화곡본동",0.228153838074687
"중랑구","망우3동",0.228002563640904
"송파구","거여1동",0.227885834766954
"관악구","신원동",0.226806778676229
"관악구","삼성동",0.22612748772589
"강서구","화곡8동",0.225267049881466
"관악구","청림동",0.224218542102432
"중랑구","면목4동",0.223260791900894
"송파구","풍납1동",0.222560845653511
"관악구","은천동",0.22208508009303
"관악구","서원동",0.221629487684742
"중랑구","신내2동",0.219842214698174
"송파구","거여2동",0.219508550017195
"송파구","문정1동",0.218247375983371
"강서구","공항동",0.216627116047349
"송파구","오금동",0.216574671651573
"강서구","화곡6동",0.216160995875374
"노원구","공릉1동",0.215529657017625
"중랑구","면목본동",0.215513331345717
"강북구","송천동",0.215268657067841
"중랑구","면목7동",0.215146333097955
"노원구","하계1동",0.21407063921784
"강서구","등촌2동",0.213983049268345
"관악구","난향동",0.21343338715463
"관악구","남현동",0.213309717133013
"관악구","행운동",0.211655541406232
"중랑구","상봉1동",0.211460773557924
"중랑구","묵2동",0.210230625662248
"관악구","대학동",0.207252339760333
"송파구","석촌동",0.207246831985069
"강서구","발산1동",0.207137825803358
"중랑구","신내1동",0.206871961590972
"중랑구","망우본동",0.206491485583122
"강서구","방화1동",0.205858326102181
"영등포구","신길4동",0.205802831668548
"관악구","신림동",0.205497259036459
"송파구","삼전동",0.205044589763077
"중랑구","중화1동",0.205037010572809
"송파구","방이2동",0.205004641802973
"관악구","인헌동",0.203957625862919
"관악구","조원동",0.203736477106352
"송파구","잠실7동",0.203686799626423
"송파구","장지동",0.203013703103896
"강서구","화곡4동",0.202516423031575
"노원구","중계4동",0.20165634948034
"송파구","풍납2동",0.201564910430075
"동대문구","청량리동",0.201144334748888
"관악구","서림동",0.19975574469599
"송파구","송파2동",0.199311356121482
"노원구","상계2동",0.196844224881814
"송파구","잠실3동",0.196017891990773
"관악구","낙성대동",0.195170030589343
"송파구","가락본동",0.193796992619618
"영등포구","신길5동",0.193203346284774
"송파구","송파1동",0.192741145475687
"노원구","월계1동",0.192616695049965
"중랑구","묵1동",0.192412358099186
"중랑구","면목5동",0.191270284739527
"중랑구","상봉2동",0.191171113563896
"송파구","오륜동",0.19067848352503
"강북구","인수동",0.190447278861328
"노원구","하계2동",0.190188751746029
"송파구","잠실본동",0.189750682147277
"노원구","상계9동",0.189698789754949
"송파구","잠실4동",0.187890939323632
"관악구","보라매동",0.187573271452851
"송파구","문정2동",0.187433255959737
"관악구","중앙동",0.187226621928836
